date,dungeon,result,time,mana,crystal,energy,drop,grade,sell_value,set,efficiency,slot,rarity,main_stat,prefix_stat,sub1,sub2,sub3,sub4,team1,team2,team3,team4,team5
2017-05-05 16:35,Aiden Forest Hell - 1,Win,1:26,985,0,1,,,,,,,,,,,,,,Mimick (Wind),Low Elemental (Wind),Sandman (Fire),,
2017-05-05 16:37,Aiden Forest Hell - 1,Win,1:35,1873,0,1,Thick Cloth x3,,,,,,,,,,,,,Mimick (Wind),Low Elemental (Wind),Sandman (Fire),,
2017-05-05 16:39,Aiden Forest Hell - 1,Win,1:04,1339,0,1,,,,,,,,,,,,,,Mimick (Wind),Low Elemental (Wind),Sandman (Fire),,
2017-05-05 17:22,Aiden Forest Hell - 1,Win,0:56,1137,0,0,Rune,4*,5673,Will,28.79,1,Magic,ATK +10,,CRI Rate 3%,,,,Mimick (Wind),Low Elemental (Wind),Sandman (Fire),,
2017-05-05 17:24,Aiden Forest Hell - 1,Win,0:44,1922,0,3,Rainbowmon 2,,,,,,,,,,,,,Mimick (Wind),Low Elemental (Wind),Sandman (Fire),,
2017-05-05 17:25,Aiden Forest Hell - 1,Win,0:41,1853,0,1,Thick Cloth x3,,,,,,,,,,,,,Lushen,Mimick (Wind),Low Elemental (Wind),Sandman (Fire),
2017-05-05 17:26,Aiden Forest Hell - 1,Win,0:48,2269,0,1,Rune,3*,2937,Will,20.76,1,Common,ATK +7,,,,,,Lushen,Mimick (Wind),Low Elemental (Wind),Sandman (Fire),
2017-05-05 17:27,Aiden Forest Hell - 1,Win,0:44,1334,0,0,Rune,3*,3672,Will,27.90,1,Magic,ATK +7,Resistance 3%,HP 5%,,,,Lushen,Mimick (Wind),Low Elemental (Wind),Sandman (Fire),
2017-05-05 17:29,Aiden Forest Hell - 1,Win,0:41,1369,1,0,Rune,4*,5236,Will,25.22,1,Common,ATK +10,,,,,,Lushen,Forest Keeper (Wind),Horned Frog (Wind),Slime (Water),
2017-05-05 17:30,Aiden Forest Hell - 1,Win,0:29,1060,0,1,Rune,3*,2937,Will,20.76,1,Common,ATK +7,,,,,,Lushen,Forest Keeper (Wind),Horned Frog (Wind),Slime (Water),
2017-05-05 17:32,Aiden Forest Hell - 1,Lost,0:32,818,0,0,,,,,,,,,,,,,,Lushen,Forest Keeper (Wind),Horned Frog (Wind),Slime (Water),
2017-05-05 17:48,"Dragon's Lair B10",Win,2:14,4649,0,2,Rainbowmon 2,,,,,,,,,,,,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-05 19:27,"Dragon's Lair B10",Win,3:14,3999,0,1,Rune,5*,8500,Endure,40.16,2,Rare,ATK 8%,DEF +9,Accuracy 4%,DEF 5%,,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-05 19:28,Aiden Forest Hell - 1,Win,0:29,2408,0,1,Rune,4*,5673,Will,30.58,1,Magic,ATK +10,,HP 6%,,,,Lushen,Forest Keeper (Wind),Horned Frog (Wind),Slime (Water),
2017-05-05 19:29,Aiden Forest Hell - 1,Win,0:42,1813,0,1,Rune,4*,6109,Will,28.96,1,Common,ATK +10,HP +196,,,,,Lushen,Forest Keeper (Wind),Horned Frog (Wind),Slime (Water),
2017-05-05 19:30,Aiden Forest Hell - 1,Win,0:39,1618,1,0,Rune,3*,2937,Will,20.76,1,Common,ATK +7,,,,,,Lushen,Inugami (Fire),Elven Ranger (Wind),Penguin Knight (Water),
2017-05-05 19:38,Aiden Forest Hell - 1,Win,0:41,2284,0,1,Rune,3*,2937,Will,20.76,1,Common,ATK +7,,,,,,Lushen,Inugami (Fire),Elven Ranger (Wind),Penguin Knight (Water),
2017-05-05 19:39,Aiden Forest Hell - 1,Win,0:48,1742,0,0,Rune,4*,6109,Will,28.79,1,Common,ATK +10,CRI Rate 3%,,,,,Lushen,Inugami (Fire),Elven Ranger (Wind),Penguin Knight (Water),
2017-05-05 19:41,Aiden Forest Hell - 1,Win,0:47,2340,0,2,Rune,3*,2937,Will,20.76,1,Common,ATK +7,,,,,,Lushen,Inugami (Fire),Elven Ranger (Wind),Penguin Knight (Water),
2017-05-05 19:42,Aiden Forest Hell - 1,Win,0:43,1426,0,1,Rune,3*,2937,Will,20.76,1,Common,ATK +7,,,,,,Lushen,Inugami (Fire),Elven Ranger (Wind),Penguin Knight (Water),
2017-05-05 19:46,Aiden Forest Hell - 1,Win,0:43,1754,0,2,Rune,3*,2937,Will,20.76,1,Common,ATK +7,,,,,,Lushen,Inugami (Fire),Elven Ranger (Wind),Penguin Knight (Water),
2017-05-05 19:55,Aiden Forest Hell - 1,Win,0:49,1275,0,1,Rune,4*,6109,Will,30.33,1,Common,ATK +10,CRI Dmg 5%,,,,,Lushen,Inugami (Fire),Elven Ranger (Wind),Penguin Knight (Water),
2017-05-05 20:09,Aiden Forest Hell - 1,Win,0:38,1523,0,0,Rune,4*,5236,Will,25.22,1,Common,ATK +10,,,,,,Lushen,Inugami (Fire),Elven Ranger (Wind),Penguin Knight (Water),
2017-05-05 20:22,Aiden Forest Hell - 1,Win,0:40,2314,0,3,Rune,3*,3427,Will,23.41,1,Common,ATK +7,HP +139,,,,,Lushen,Inugami (Fire),Elven Ranger (Wind),Penguin Knight (Water),
2017-05-06 08:45,"Giant's Keep B10",Win,3:45,4159,0,1,Rune,5*,6800,Swift,42.18,2,Rare,SPD +5,,CRI Dmg 3%,CRI Rate 5%,,,Lushen,Hwa,Taor,Stella,Galleon
2017-05-06 08:46,Hall of Magic B10,Win,0:45,2966,0,0,Essence of Magic(Low) x4,,,,,,,,,,,,,Lushen,Hwa,Stella,Taor,Galleon
2017-05-12 14:16,Hall of Heroes,Lost,0:35,80,0,0,,,,,,,,,,,,,,Rakan,,,,
2017-05-12 14:17,Hall of Heroes,Lost,1:06,346,0,0,,,,,,,,,,,,,,Rakan,Verdehile,,,
2017-05-12 14:20,Hall of Heroes,Win,2:21,1681,0,3,Summoning Piece Neostone Fighter (Dark) x25,,,,,,,,,,,,,Perna,Verad,Theomars,Verdehile,Chasun
2017-05-12 14:24,Hall of Heroes,Win,3:33,2047,0,4,Summoning Piece Neostone Fighter (Dark) x25,,,,,,,,,,,,,Perna,Verad,Theomars,Verdehile,Chasun
2017-05-12 14:29,Hall of Heroes,Win,4:32,2138,0,3,Summoning Piece Neostone Fighter (Dark) x25,,,,,,,,,,,,,Perna,Verad,Theomars,Verdehile,Chasun
2017-05-12 14:34,Hall of Heroes,Lost,4:04,700,0,1,,,,,,,,,,,,,,Perna,Verad,Theomars,Verdehile,Chasun
